host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,3.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,50,31,284,22,98.0,46,10,0.75
within a day,1.0,t,Ciutat Vella,Apartment,Private room,2,,50,2,0,7,100.0,25,2,0.275
within an hour,1.0,t,Sant Martí,Apartment,Private room,2,,70,2,12,0,,18,3,0.4
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,1,,16,2,50,80,92.0,13,4,0.45
within an hour,7.0,t,Eixample,Hostel,Private room,4,,160,3,345,0,,1,1,0.9
within a few hours,101.0,t,Gràcia,Apartment,Entire home/apt,4,,100,2,8,0,,8,1,0.5375
within an hour,206.0,t,Sant Andreu,Apartment,Entire home/apt,7,,97,1,233,0,,18,1,0.9
within a few hours,14.0,t,Sant Martí,Apartment,Entire home/apt,3,,58,32,164,0,,13,1,0.6875
within an hour,8.0,t,Eixample,Apartment,Entire home/apt,4,,110,2,309,0,,12,1,0.9
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,48,2,216,432,93.0,17,4,0.75
,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,32,3,254,0,,11,1,0.45
within a few hours,10.0,t,Sants-Montjuïc,Tiny house,Entire home/apt,3,,110,4,263,102,93.0,35,7,0.7375
within an hour,5.0,t,Eixample,Apartment,Entire home/apt,6,,250,3,325,246,94.0,35,5,0.85
within an hour,33.0,t,Ciutat Vella,Loft,Entire home/apt,2,,45,32,302,0,,11,1,0.95
within an hour,2.0,t,Nou Barris,Apartment,Private room,2,,30,2,350,0,,32,8,0.85
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,60,2,22,171,88.0,26,7,0.4
within a few hours,1.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,60,31,324,0,,14,1,0.7375
within an hour,206.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,6,,400,2,322,15,83.0,28,3,1.0
within an hour,4.0,t,Eixample,Apartment,Entire home/apt,4,,70,3,302,90,98.0,44,7,0.85
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,4,,90,3,27,88,94.0,15,1,0.4
within an hour,5.0,t,Ciutat Vella,Apartment,Private room,2,,60,1,321,14,86.0,29,3,0.85
within a day,1.0,t,Sant Martí,Apartment,Private room,1,,20,30,282,0,,9,1,0.575
within an hour,27.0,t,Gràcia,Apartment,Entire home/apt,4,,90,2,162,51,86.0,59,15,0.75
within an hour,1.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,135,3,290,0,,12,2,0.7
a few days or more,3.0,t,Sants-Montjuïc,Apartment,Private room,1,,28,30,333,70,90.0,9,2,0.6625
,1.0,t,Gràcia,Apartment,Private room,2,,45,1,0,0,,12,2,0.15000000000000002
within a few hours,7.0,t,Eixample,Serviced apartment,Private room,16,,20,31,218,1,80.0,15,1,0.7375
within an hour,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,59,2,31,25,99.0,12,2,0.4
within an hour,1.0,t,Ciutat Vella,Bed and breakfast,Private room,2,,60,2,156,1,100.0,10,1,0.6
within an hour,50.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,3,,77,32,68,0,,14,0,0.65
within an hour,33.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,8,,490,1,113,10,98.0,44,18,0.75
within an hour,116.0,t,Gràcia,Apartment,Entire home/apt,9,,94,1,78,0,,20,2,0.7
within an hour,2.0,t,Horta-Guinardó,Apartment,Private room,2,,40,1,127,4,100.0,12,2,0.65
within an hour,1.0,t,Eixample,Apartment,Private room,2,,50,30,364,0,,35,10,0.8
,1.0,t,Gràcia,Apartment,Private room,4,,250,5,0,0,,60,22,0.15000000000000002
within a few hours,3.0,t,Sant Martí,Apartment,Private room,2,0.0,45,2,161,38,97.0,19,2,0.5875
within an hour,49.0,t,Eixample,Apartment,Entire home/apt,7,,95,1,82,9,76.0,20,1,0.65
,1.0,t,Eixample,Apartment,Private room,2,,30,1,0,3,89.0,15,4,0.15000000000000002
within an hour,1.0,t,Horta-Guinardó,Serviced apartment,Private room,2,,59,7,364,6,93.0,14,3,0.8
within an hour,1.0,t,Eixample,Apartment,Private room,2,,50,2,28,7,94.0,18,0,0.4
within an hour,8.0,t,Horta-Guinardó,House,Private room,3,,32,2,320,246,91.0,22,5,0.9
within an hour,3.0,t,Eixample,Apartment,Entire home/apt,6,,140,1,306,2,90.0,19,1,0.85
a few days or more,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,50,5,128,3,100.0,15,1,0.4125
within a few hours,2.0,t,Eixample,Apartment,Private room,1,,18,1,300,8,90.0,16,3,0.6875
within an hour,1.0,t,Sant Martí,Apartment,Private room,2,,38,2,357,0,,8,2,0.8
within an hour,12.0,t,Eixample,Apartment,Entire home/apt,4,,99,3,321,92,86.0,17,2,0.95
within a few hours,4.0,t,Sant Martí,Apartment,Private room,3,,75,2,0,12,92.0,24,8,0.3875
within an hour,19.0,t,Eixample,Condominium,Entire home/apt,8,,270,3,305,1,100.0,13,1,0.95
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,30,1,331,26,82.0,8,1,0.8
within a few hours,2.0,t,Ciutat Vella,Apartment,Private room,2,,29,1,54,305,88.0,18,4,0.48750000000000004
,11.0,t,Eixample,Apartment,Private room,2,,52,3,210,0,,15,1,0.6000000000000001
within an hour,8.0,t,Eixample,Apartment,Private room,2,,65,1,76,0,,14,1,0.6
within a few hours,34.0,t,Eixample,Apartment,Entire home/apt,6,,140,1,313,21,94.0,20,3,0.8875
within a day,12.0,t,Sant Martí,Apartment,Entire home/apt,8,,400,2,329,18,93.0,11,1,0.825
within an hour,106.0,t,Eixample,Apartment,Entire home/apt,5,,139,2,326,5,88.0,19,2,1.0
within a few hours,1.0,t,Ciutat Vella,Apartment,Private room,2,,50,2,0,59,96.0,12,2,0.3375
within a few hours,1.0,t,Sants-Montjuïc,Guest suite,Private room,3,,45,2,194,71,98.0,18,3,0.5375
within an hour,1.0,t,Sant Martí,Apartment,Private room,2,,50,2,324,128,94.0,44,10,0.8
within a day,1.0,t,Sant Martí,Loft,Private room,2,,80,1,282,69,97.0,21,0,0.575
within a few hours,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,1,,19,2,0,2,100.0,20,1,0.3375
,2.0,t,Ciutat Vella,Apartment,Private room,2,,42,1,0,15,90.0,19,0,0.2
,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,55,1,0,7,100.0,13,0,0.15000000000000002
within an hour,520.0,t,Eixample,Apartment,Entire home/apt,4,,110,1,243,7,86.0,10,1,0.9
within an hour,4.0,t,Eixample,Apartment,Private room,2,,34,2,20,12,83.0,10,1,0.45
within a few hours,3.0,t,Ciutat Vella,Apartment,Private room,3,,110,3,137,31,94.0,11,0,0.5875
within an hour,49.0,t,Eixample,Apartment,Entire home/apt,6,,80,1,111,17,80.0,18,1,0.75
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,35,1,43,404,93.0,19,1,0.4
within an hour,8.0,t,Ciutat Vella,Apartment,Private room,4,,90,2,38,162,97.0,62,28,0.5
within an hour,1.0,t,Eixample,Apartment,Private room,2,,29,2,190,4,95.0,18,2,0.6
,1.0,t,Eixample,Apartment,Entire home/apt,4,,100,5,0,1,100.0,18,1,0.15000000000000002
within an hour,1.0,t,Sant Martí,Apartment,Entire home/apt,4,,96,2,329,87,91.0,29,2,0.8
,1.0,t,Eixample,Apartment,Private room,1,,40,1,0,0,,10,2,0.15000000000000002
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,65,2,327,293,94.0,14,3,0.85
within an hour,4.0,t,Sant Martí,Apartment,Private room,2,,120,3,345,0,,48,17,0.85
within an hour,1.0,t,Sant Martí,Apartment,Private room,1,,30,2,22,3,100.0,7,0,0.4
within a few hours,1.0,t,Les Corts,Apartment,Private room,1,,80,30,89,0,,17,1,0.4375
,1.0,t,Eixample,Apartment,Entire home/apt,2,,150,35,0,0,,13,1,0.15000000000000002
within an hour,131.0,t,Sant Andreu,Apartment,Entire home/apt,4,,49,32,274,0,,12,1,0.9
within a few hours,2.0,t,Sant Martí,Apartment,Private room,1,,20,3,43,2,100.0,16,1,0.3875
within an hour,2.0,t,Sant Martí,Apartment,Private room,2,,35,2,338,45,92.0,30,2,0.85
within an hour,7.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,128,2,268,0,,20,1,0.8
within a few hours,101.0,t,Eixample,Apartment,Entire home/apt,7,,170,3,21,13,85.0,22,1,0.5375
within a day,1.0,t,Sant Martí,Condominium,Private room,2,,80,7,0,0,,18,3,0.275
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,37,2,6,6,90.0,10,1,0.45
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,6,,175,2,50,105,95.0,27,0,0.4
within an hour,14.0,t,Ciutat Vella,Apartment,Entire home/apt,6,,170,30,309,8,100.0,13,0,0.95
within an hour,44.0,t,Eixample,Apartment,Entire home/apt,6,,5000,2,290,1,100.0,17,1,0.8500000000000001
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,26,2,328,91,90.0,17,3,0.8
,0.0,t,Ciutat Vella,Apartment,Private room,3,,120,3,86,0,,9,1,0.2
,1.0,t,Eixample,Apartment,Entire home/apt,2,,30,31,362,0,,5,2,0.55
within a few hours,4.0,t,Sant Martí,Apartment,Private room,2,,49,3,67,11,85.0,15,1,0.48750000000000004
within a day,91.0,t,Gràcia,Apartment,Private room,1,,21,32,313,0,,21,2,0.875
within an hour,4.0,t,Eixample,Apartment,Private room,1,,30,3,289,6,92.0,9,2,0.75
within an hour,36.0,t,Gràcia,Apartment,Entire home/apt,4,,79,1,138,31,86.0,14,1,0.75
within a few hours,2.0,t,Eixample,Apartment,Entire home/apt,6,,96,2,258,36,91.0,31,2,0.6875
a few days or more,1.0,t,Sant Martí,Apartment,Private room,1,,65,60,364,0,,22,5,0.6125
